Node Number,Node Type,Node Name,Intent,Entity Type,Entity,NLU Disabled?,Next Nodes,Message,Rich Asset Type,Rich Asset Content,Answer Required?,Behaviors,Command,Description,Output,Node Input,Parameter Input,Decision Variable,What Next?,Node Tags,Skill Tag,Variable,Platform Flag,Flows,CSS Classname
116611,A,SearchTextForRegex - Deny CAN Postal (APT #),,,,,,,,,,,SearchTextForRegEx,,found_regex,,"{
""input_text"":""POLICYADDRPOSTAL"",
""output_var"":""POLICYADDRPOSTAL_OUTPUT"",
""regex"":""^(^[0-9]{9}$)|(^[0-9]{5}$)$""
}",found_regex,true~11663|false~116612|error~99990,,,"POLICYADDRPOSTAL,POLICYADDRPOSTAL_OUTPUT",,,
116613,A,SearchTextForRegex - Deny CAN Postal (No APT #),,,,,,,,,,,SearchTextForRegEx,,found_regex,,"{
""input_text"":""POLICYADDRPOSTAL"",
""output_var"":""POLICYADDRPOSTAL_OUTPUT"",
""regex"":""^(^[0-9]{9}$)|(^[0-9]{5}$)$""
}",found_regex,true~11664|false~116612|error~99990,,,"POLICYADDRPOSTAL,POLICYADDRPOSTAL_OUTPUT",,,
116612,D,CAN Postal Error,,,,,,"I'm sorry, but it looks like you're using a **Canadian postal code**. At this time, we do not support CAN addresses within the digital platform.

If this was intentional, please call **1-800-252-4633** to speak with an agent. Otherwise, you can **try again**.",button,<<fal fa-undo>> Try again~1163,1,disable_input,,,,,,,,,,,,,
11662,D,ADDR2 - Non-numeric,,,,,,"I'm sorry, but it looks like the second line of your address (usually the unit or apartment number) wasn't in the **format** we're looking for. 

Please omit words like 'Apt' or 'Unit' and try again using something like this:
**35, #201, 4B**",button,<<fal fa-undo>> Try again~1163,1,disable_input,,,,,,,,,,,,,
1167,D,Policy address webview error message,,,,,1168,"I'm sorry, but to continue we will need your **policy address** to file a claim.",,,,,,,,,,,,,,,,,
1168,D,Policy address webview error message - Part 2,,,,,,Would you like to try again?,button,<<fal fa-undo>> Try again~1165,1,disable_input,,,,,,,,,,,,,
11663,D,Address intake widget - Apt # True,,,,,,"**{POLICYADDR1}, Apt/Unit {POLICYADDR2}**
**{POLICYADDRCITY}, {POLICYADDRSTATE} {POLICYADDRPOSTAL}**

Please confirm this address is accurate.",button,"<<far fa-check>> This address is correct~118|
<<far fa-arrow-alt-circle-left>> Edit address~1163",1,disable_input,,,,,,,,,,,,,
11664,D,OffPrem - Address intake widget,,,,,,"**{POLICYADDR1}**
**{POLICYADDRCITY}, {POLICYADDRSTATE} {POLICYADDRPOSTAL}**

Please confirm this address is accurate.",button,"<<far fa-check>> This address is correct~118|
<<far fa-arrow-alt-circle-left>> Edit address~1163",1,disable_input,,,,,,,,,,,,,
117,D,Coverage Snapshot,,,,,1171,Here's a coverage snapshot for **{POLICY_ADDRESS}**:,,,,,,,,,,,,,,,,,
1171,D,Coverage Snapshot Display ★,,,,,11711,{POLICY_SUMMARY_STRING},,,,,,,,,,,,,,,,,
11711,A,AssignVar - COVERAGE_DISPLAYED,,,,,,,,,,,AssignVariable,"This is here so that we can mark if the user saw the coverage snapshot or not.

That way, if the user edits the DOL we can use this global variable to determine if we should show them the snapshot again or not

Ex.) If a user has already seen the coverage snapshot, we don't want to display it again
Ex.) if the user entered a DOL outside the policy period and they edited it to a date within the policy period we'll want to show them the snapshot. This is a scenario where the user hasn't seen it, but will need to see it if the DOL is within the policy period

Sorry, a lot of run on sentences lol",success,,"{
        ""set"": {
                ""COVERAGE_DISPLAYED"": ""true""
        }
}",success,true~11712|error~99990,,,COVERAGE_DISPLAYED,,,
11712,A,CheckQuantumPolicy,,,,,,,,,,,CheckQuantumPolicy,"This action node will check the user's quantum policy type.

If Quantum 2, we display a short disclaimer message to the user. 

If NOT Quantum 1, we skip the disclaimer message and route them down the ""false"" path in the ""What's Next?"" column.",success,,,success,"quantum_2~11721|
false~1172|
error~99990",,,QUANTUM_POLICY,,,
1172,D,Legal disclaimer webview [Q1],,,,,11722,,webview,~https://s3.us-west-2.amazonaws.com/preview.pypestream.com/cx/LegalDisclaimerV4.html?height=130,,inline,,,,,,,,,,,,,
11721,D,Legal disclaimer webview [Q2],,,,,11722,,webview,~https://s3.us-west-2.amazonaws.com/preview.pypestream.com/cx/LegalDisclaimerQ2.html?height=90,,inline,,,,,,,,,,,,,
11722,A,"CheckPolicyState

[Virginia]",,,,,,,,,,,CheckPolicyState,"Virginia recently passed a law (1/1/24) that will require us to display additional verbiage when displaying the policy snapshot


If the user's policy address is in Virginia, we will display an additional webview that says: ""*Virginia: Your policy limits may be higher than shown above as affected by statue.""

We will display this regardless of Quantum Policy type (QTM or Q2)",success,,,success,"virginia~11723|
false~1173|
error~99990",,,POLICYADDRSTATE,,,
11723,D,Virginia legal disclaimer webview,,,,,1173,,webview,~https://s3.us-west-2.amazonaws.com/preview.pypestream.com/cx/VirginiaDisclaimerLanguage.html?height=40,,inline,,,,,,,,,,,,,
1173,D,Coverage Snapshot - Part 3,,,,,,Would you like to proceed with **filing a claim**?,button,"<<far fa-file-plus>> Yes, file a claim~118|
<<far fa-ban>> No, end chat~1180",1,disable_input,,,,,,,,,,,,,
118,A,VarCheck - Entered Policy ADDR Y/N,,,,,,,,,,,VarCheck,,valid,,"{""global_var_name"":""FORM_ID""}",valid,true~1182|false~1192|error~99990,,,FORM_ID,,,
1180,A,"PostEventToBQ → Forced Out (User declined after policy snapshot)

✓",,,,,,,,,,,PostEventToBQ,User declined after seeing the policy snapshot :'(,success,,"{
    ""table_id"": ""travelers_data_2.metric_data_2"",
    ""columns"": {
        ""event"": ""Forced Out"",
        ""forced_out_reason"": ""Policy Snapshot Decline"",
        ""session_id"": ""{SESSION_ID}""
    }
}",success,true~666|hidden_flow~666|error~99990,,,SESSION_ID,,,
1182,A,VarCheck - Apt #,,,,,,,,,,,VarCheck,,valid,,"{""global_var_name"":""POLICYADDR2""}",valid,true~11820|false~11821|error~99990,,,POLICYADDR2,,,
11820,D,"Policy Information Summary (Entered ADDR Manually, APT True)",,,,,,"We're about to proceed with filing a claim. In the next section, we'll collect your **contact information**.

Before we move on, please verify that the information you've entered so far is correct:

Incident Date: **{USER_DOL}**

Policy Address:
**{POLICYADDR1}, Apt/Unit {POLICYADDR2}**
**{POLICYADDRCITY}, {POLICYADDRSTATE} {POLICYADDRPOSTAL}**",button,"<<far fa-check>> This information is correct~1192|
<<fal fa-calendar>> Edit incident date~118200|
<<fal fa-map-marker-alt>> Edit policy address~1163",1,disable_input,,,,,,,,,,,,,
118200,A,EDIT | INCIDENT DATE,,,,,,,,,,,AssignVariable,"Description:
Sets the values for any number of global variables - can be to either hardcoded values or the values of other global variables.

Input:
Destination global variables (that we want to assign values to, defined in param input)
Values to assign (can be either an ""origin"" global variable, i.e. variable to take the value from, or a hardcoded value)

Output Values:
Newly assigned global variables",success,,"{
  ""set"": {
    ""SUMMARY_RETURN"": ""Policy1""
  }
}",success,true~80|error~99990,,,SUMMARY_RETURN,,,
11821,D,"Policy Information Summary (Entered ADDR Manually, APT False)",,,,,,"We're about to proceed with filing a claim. In the next section, we'll collect your **contact information**.

Before we move on, please verify that the information you've entered so far is correct:

Incident Date: **{USER_DOL}**

Policy Address:
**{POLICYADDR1}**
**{POLICYADDRCITY}, {POLICYADDRSTATE} {POLICYADDRPOSTAL}**",button,"<<far fa-check>> This information is correct~1192|
<<fal fa-calendar>> Edit incident date~118210|
<<fal fa-map-marker-alt>> Edit policy address~1163",1,disable_input,,,,,,,,,,,,,
118210,A,EDIT | INCIDENT DATE,,,,,,,,,,,AssignVariable,"Description:
Sets the values for any number of global variables - can be to either hardcoded values or the values of other global variables.

Input:
Destination global variables (that we want to assign values to, defined in param input)
Values to assign (can be either an ""origin"" global variable, i.e. variable to take the value from, or a hardcoded value)

Output Values:
Newly assigned global variables",success,,"{
  ""set"": {
    ""SUMMARY_RETURN"": ""Policy2""
  }
}",success,true~80|error~99990,,,SUMMARY_RETURN,,,
1192,A,"PostEventToBQ - phase_1_end / user's policy type

✓",,,,,,,,,,,PostEventToBQ,"Phase 1 End

User's policy type (ex. QTM)",success,,"{
    ""table_id"": ""travelers_data_2.metric_data_2"",
    ""columns"": {
        ""event"": ""Phase 1 End"",
        ""policy_type"": ""{QUANTUM_POLICY}"",
        ""session_id"": ""{SESSION_ID}""
    }
}",success,true~121|hidden_flow~121|error~99990,,,"QUANTUM_POLICY,SESSION_ID",,,
121,D,Who's Reporting,,,,,,Please help me understand **who** is filing the claim.,button,"<<far fa-user>> Insured policyholder~1210|
<<far fa-user-headset>> Agent on behalf of insured~1210|
<<far fa-question-circle>> Other~1210",1,disable_input,,,,,,,,,,CLAIM_FILER,,,
1210,A,GetValue - CLAIM_FILER,,,,,,,,,,,GetValue,,success,,"{""global_vars"":""CLAIM_FILER""}",success,true~12100|false~99990|error~99990,,,CLAIM_FILER,,,
12100,A,CheckEligibility,,,,,,,,,,,CheckEligibility,"If the user is QTM1 and Insured then ""ELIGIBLE"" is set to ""Yes"", else ""No"" 

- Lucas waz here (9/14/23)",success,,,success,true~121001|error~99990,,,"CLAIM_FILER,QUANTUM_POLICY,ELIGIBILITY",,,
121001,A,"PostEventToBQ → Phase 2 Start / Eligibility / Policy Type

✓",,,,,,,,,,,PostEventToBQ,"Phase 2 Start


- If the user is Insured and has a QTM policy type, ""ELIGIBILITY"" will be Yes",success,,"{
    ""table_id"": ""travelers_data_2.metric_data_2"",
    ""columns"": {
        ""event"": ""Phase 2 Start"",
        ""eligible"": ""{ELIGIBILITY}"",
        ""session_id"": ""{SESSION_ID}""
    }
}",success,true~121002|error~99990,,,"ELIGIBILITY,SESSION_ID",,,
121002,A,"PostEventToBQ → Personas

✓",,,,,,,,,,,PostEventToBQ,"Persona (Agent, Insured, Other)",success,,"{
    ""table_id"": ""travelers_data_2.metric_data_2"",
    ""columns"": {
        ""event"": ""Persona"",
        ""persona"": ""{CLAIM_FILER}"",
        ""session_id"": ""{SESSION_ID}""
    }
}",success,true~12101|error~99990,,,"CLAIM_FILER,SESSION_ID",,,
12101,A,"PostToBQTable→ claim_filer

✓",,,,,,,,,,,PostToBQTable,"Posts to BQ Table the event ""claim_filer""",success,,"{
  ""event"": ""claim_filer""
}",success,true~12102|false~12102|error~99990,,,"POLICY_NUMBER,PHONE_NUMBER,SESSION_ID,LASTURL,USER_PLATFORM,ORIGINATOR,CLAIM_FILER",,,
12102,A,MultiMatchRoutingContains - CLAIM_FILER,,,,,,,,,,,MultiMatchRoutingContains,,valid,,"{
        ""global_vars"": ""CLAIM_FILER"",
        ""input_vars"": ""Insured policyholder,Agent on behalf of insured,Other""
}",valid,insuredpolicyholder~131|agentonbehalfofinsured~122|other~1211|error~99990,,,CLAIM_FILER,,,
1211,A,AssignVar - OtherFiler,,,,,,,,,,,AssignVariable,"This is here so that we can mark if the user saw the coverage snapshot or not.

That way, if the user edits the DOL we can use this global variable to determine if we should show them the snapshot again or not

Ex.) If a user has already seen the coverage snapshot, we don't want to display it again
Ex.) if the user entered a DOL outside the policy period and they edited it to a date within the policy period we'll want to show them the snapshot. This is a scenario where the user hasn't seen it, but will need to see it if the DOL is within the policy period

Sorry, a lot of run on sentences lol",success,,"{
        ""set"": {
                ""OTHER_FILER"": ""Yes""
        }
}",success,true~122|error~99990,,,OTHER_FILER,,,
122,D,Agent - Name,,,,1,1221,Could you please enter **your** full name below?,,,1,,,,,,,,,,,AGENT_FULLNAME,,,
1221,A,ParseFullName,,,,,,,,,,,ParseFullName,,valid,,"{""fullname_input"":""AGENT_FULLNAME"",""firstname_output"":""AGENT_FIRSTNAME"",""lastname_output"":""AGENT_LASTNAME""}",valid,true~1224|false~1223|error~1223,,,"AGENT_FULLNAME,AGENT_FIRSTNAME,AGENT_LASTNAME",,,
1223,D,Name fail - Ask for name again,,,,,,"Hmm...it looks like you may have entered something other than a **full name** (e.g. a first name or a name with numbers or special characters). 

**Please try again**.",button,<<far fa-undo>> Try again~122,1,disable_input,,,,,,,,,,AGENT_FULLNAME,,,
1224,D,Agent - Confirm Name,,,,,,"Thank you, your name has been recorded as **{AGENT_FIRSTNAME} {AGENT_LASTNAME}**.",button,"<<far fa-arrow-alt-circle-right>> Continue~13|
<<far fa-edit>> Edit name~122",1,disable_input,,,,,,,,,,,,,
1230,D,Insured Phone Number,,,,1,1231,Thank you **{AGENT_FIRSTNAME}**. What's the **phone number** of the policyholder?,,,1,,,,,,,,,,,PHONE,,,
1231,A,ValidatePhoneAndReturnStripped,,,,,,,,,,,ValidatePhoneAndReturnStripped,"Validate that the input phone number is either 10 digits, or 11 with 1 being the first digit (i.e. proper format for U.S. phone numbers). Also returns a new variable that represents the phone number stripped of all special characters.",valid,,"{""original_phone_number"":""PHONE"",""stripped_phone_number"":""PHONE_STRIPPED""}",valid,true~1233|false~1232|error~99990,,,"PHONE,PHONE_STRIPPED",,,
1232,D,Phone validation failed,,,,,,"I'm sorry, it doesn't look like you've entered a valid phone number. Would you like to try again?",button,<<far fa-undo>> Try again~1230,1,disable_input,,,,,,,,,,PHONE,,,
1233,A,FormatPhone,,,,,,,,,,,FormatPhone,"Takes a string of 10 digits, or 11 digits starting with ""1"", and formats it as XXX-XXX-XXXX / 1-XXX-XXX-XXXX.",success,,"{""input_var"":""PHONE_STRIPPED"",""output_var"":""PHONE_FORMATTED""}",success,true~124|false~99990|error~99990,,,"PHONE_STRIPPED, PHONE_FORMATTED",,,
124,D,Confirm Phone Number,,,,,,Please confirm the insured's phone number is **{PHONE_FORMATTED}**.,button,"<<far fa-arrow-alt-circle-right>> Yes, continue~1241|
<<far fa-edit>> Edit phone number~1230",1,disable_input,,,,,,,,,,,,,
1241,D,Insured's email,,,,1,12410,What **email** should we send the claim confirmation to?,,,1,,,,,,,,,,,EMAIL,,,
12410,A,ValidateEmail,,,,,,,,,,,ValidateEmail,,valid,,"{""global_vars"":""EMAIL""}",valid,true~1242|false~12411|error~99990,,,EMAIL,,,
12411,D,Email validation failed,,,,,,It doesn't look like that's a valid **email address**. Would you like to try again?,button,"<<far fa-undo>> Try again~1241|
<<far fa-times>> I don't have an email address~12412",1,disable_input,,,,,,,,,,,,,
12412,A,AssignVar - EMAIL (User has no email address),,,,,,,,,,,AssignVariable,,success,,"{
  ""set"": {
    ""EMAIL"": ""N/A""
  }
}",success,true~1242|error~99990,,,EMAIL,,,
1242,D,Do you know the email address of the insured?,,,,,,"Finally, do you know the **email address** of the insured person you're filing the claim on behalf of?",button,"<<far fa-check>> Yes, I do~12420|
<<far fa-times>> No, I don't have their email~1346",1,disable_input,,,,,,,,,,,,,
12420,D,Insured Email Collection,,,,1,12421,Please enter the **insured person's email address** now.,,,1,,,,,,,,,,,INSURED_EMAIL,,,
12421,A,ValidateEmail,,,,,,,,,,,ValidateEmail,,valid,,"{""global_vars"":""INSURED_EMAIL""}",valid,true~1346|false~12422|error~99990,,,INSURED_EMAIL,,,
12422,D,Email validation failed,,,,,,It doesn't look like that's a valid **email address**. Would you like to try again?,button,"<<far fa-undo>> Try again~12420|
<<far fa-times>> No, I don't have their email~1346",1,disable_input,,,,,,,,,,,,,
13,D,Insured Name,,,,1,1300,Please provide the **policyholder's** full name below:,,,1,,,,,,,,,,,FULLNAME,,,
1300,A,ParseFullName,,,,,,,,,,,ParseFullName,,valid,,"{""fullname_input"":""FULLNAME"",""firstname_output"":""FIRSTNAME"",""lastname_output"":""LASTNAME""}",valid,true~1302|false~1301|error~1301,,,"FULLNAME,FIRSTNAME,LASTNAME",,,
1301,D,Name fail - Ask for full name again,,,,1,132,"Hmm...it looks like you may have entered something other than a **full name** (e.g. a first name or a name with numbers or special characters). 

**Please try again**.",,,1,,,,,,,,,,,FULLNAME,,,
1302,D,Insured Name - Confirm,,,,,,"Thank you, the policyholder's name has been recorded as **{FIRSTNAME} {LASTNAME}**.",button,"<<far fa-arrow-alt-circle-right>> Yes, continue~1230|
<<far fa-edit>> Edit policyholder's name~13",1,disable_input,,,,,,,,,,,,,
131,D,Enter Name - Policyholder,,,,1,132,We'll need to collect some information to better assist you. Could you please enter your **full name**?,,,1,,,,,,,,,,,FULLNAME,,,
132,A,ParseFullName,,,,,,,,,,,ParseFullName,,valid,,"{""fullname_input"":""FULLNAME"",""firstname_output"":""FIRSTNAME"",""lastname_output"":""LASTNAME""}",valid,true~1321|false~1323|error~1323,,,"FULLNAME,FIRSTNAME,LASTNAME",,,
1321,A,AssignVar - INSURED (Used as a flag for Phase 3),,,,,,,,,,,AssignVariable,,success,,"{
  ""set"": {
    ""INSURED"": ""true""
  }
}",success,true~1324|error~99990,,,INSURED,,,
1323,D,Name fail - Ask for full name again,,,,1,132,"Hmm...it looks like you may have entered something other than a **full name** (e.g. a first name or a name with numbers or special characters). 

**Please try again**.",,,1,,,,,,,,,,,FULLNAME,,,
1324,A,VarCheck - Formatted Phone,,,,,,,,,,,VarCheck,,valid,,"{""global_var_name"":""PHONE_FORMATTED""}",valid,true~1325|false~1571|error~99990,,,PHONE_FORMATTED,,,
1325,D,Confirm Phone Number,,,,,,"Thank you, your name has been recorded as **{FIRSTNAME} {LASTNAME}**.

Is **{PHONE_FORMATTED}** the best phone number to contact in regards to this claim?",button,"<<far fa-arrow-alt-circle-right>> Yes, continue~13311|
<<far fa-edit>> Edit phone number~13250|
<<far fa-edit>> Edit name~131",1,disable_input,,,,,,,,,,,,,
13250,D,Enter Phone Number,,,,1,1326,Please enter the phone number below.,,,1,,,,,,,,,,,PHONE,,,
1326,A,ValidatePhoneAndReturnStripped,,,,,,,,,,,ValidatePhoneAndReturnStripped,"Validate that the input phone number is either 10 digits, or 11 with 1 being the first digit (i.e. proper format for U.S. phone numbers). Also returns a new variable that represents the phone number stripped of all special characters.",valid,,"{""original_phone_number"":""PHONE"",""stripped_phone_number"":""PHONE_STRIPPED""}",valid,true~1328|false~1327|error~99990,,,"PHONE,PHONE_STRIPPED",,,
1327,D,Phone validation failed,,,,,,"I'm sorry, it doesn't look like you've entered a valid phone number. Would you like to try another number?",button,<<far fa-undo>> Try again~13250,1,disable_input,,,,,,,,,,PHONE,,,
1328,A,FormatPhone,,,,,,,,,,,FormatPhone,"Takes a string of 10 digits, or 11 digits starting with ""1"", and formats it as XXX-XXX-XXXX / 1-XXX-XXX-XXXX.",success,,"{""input_var"":""PHONE_STRIPPED"",""output_var"":""PHONE_FORMATTED""}",success,true~1325|false~99990|error~99990,,,"PHONE_STRIPPED, PHONE_FORMATTED",,,
1329,D,Phone Edit Confirm,,,,,,Your phone number has been recorded as {PHONE_FORMATTED}.,button,"<<far fa-arrow-alt-circle-right>> Continue~13311|
<<far fa-edit>> Edit phone number~13250",1,disable_input,,,,,,,,,,,,,
13311,D,Email,,,,1,13312,What **email** should we send the claim confirmation to?,,,1,,,,,,,,,,,EMAIL,,,
13312,A,ValidateEmail,,,,,,,,,,,ValidateEmail,,valid,,"{""global_vars"":""EMAIL""}",valid,true~1345|false~13313|error~99990,,,EMAIL,,,
13313,D,Email validation failed,,,,,,It doesn't look like that's a valid **email address**. Would you like to try again?,button,"<<far fa-undo>> Try again~13311|
<<far fa-times>> I don't have an email address~13314",1,disable_input,,,,,,,,,,,,,
13314,A,AssignVar - EMAIL (User has no email address),,,,,,,,,,,AssignVariable,,success,,"{
  ""set"": {
    ""EMAIL"": ""N/A""
  }
}",success,true~1345|error~99990,,,EMAIL,,,
133,A,VarCheck - DOL,,,,,,,,,,,VarCheck,,valid,,"{""global_var_name"":""DOL""}",valid,true~135|false~1332|error~99990,,,DOL,,,
1332,A,VarCheck - Filer Type,,,,,,,,,,,VarCheck,,valid,,"{""global_var_name"":""AGENT_FULLNAME""}",valid,true~13301|false~1330|error~99990,,,AGENT_FULLNAME,,,
1330,D,Confirm date of loss - Insured,,,,,,"Thank you, your name has been recorded as **{FIRSTNAME} {LASTNAME}. When** did the theft occur?",button,"<<far fa-calendar>> Select date~134|
<<far fa-edit>> Edit name~1331",1,disable_input,,,,,,,,,,,,,
13301,D,Confirm date of loss - Agent/Other,,,,,,"Thank you, the policyholder's name has been recorded as **{FIRSTNAME} {LASTNAME}. When** did the theft occur?",button,"<<far fa-calendar>> Select date~134|
<<far fa-edit>> Edit name~13302|
<<far fa-edit>> Edit policyholder's name~131",1,disable_input,,,,,,,,,,,,,
13302,D,Agent: Edit Own Name,,,,1,13303,Please **re-enter** your full name below.,,,1,,,,,,,,,,,AGENT_FULLNAME,,,
13303,A,[Orphaned] Agent: Edit Own Name | ParseFullName,,,,,,,,,,,ParseFullName,,valid,,"{""fullname_input"":""AGENT_FULLNAME"",""firstname_output"":""AGENT_FIRSTNAME"",""lastname_output"":""AGENT_LASTNAME""}",valid,true~13304|only_firstname~13305|false~99990|error~99990,,,"AGENT_FULLNAME,AGENT_FIRSTNAME,AGENT_LASTNAME",,,
13304,D,Agent: Edit Own Name | Confirm,,,,,,Your name has been updated to **{AGENT_FIRSTNAME} {AGENT_LASTNAME}**. **When** did the theft occur?,button,"<<far fa-calendar>> Select date~134|
<<far fa-arrow-alt-circle-left>> Go back~13302|
<<far fa-edit>> Edit policyholder's name~13",1,disable_input,,,,,,,,,,,,,
13305,D,Agent: Edit Own Name | OnlyFirstName,,,,1,13304,"Thank you, now please enter your **last name** below:",,,1,,,,,,,,,,,AGENT_LASTNAME,,,
13306,D,Name fail - Ask for name again,,,,,,Hmm...it looks like you may have entered something other than a **full name** (e.g. a first name or a name with numbers or special characters). **Please try again**.,button,<<far fa-undo>> Try again~13302,1,disable_input,,,,,,,,,,AGENT_FULLNAME,,,
1331,D,Enter Name - Edit,,,,1,132,Please **re-enter** the policyholder's full name below.,,,1,,,,,,,,,,,FULLNAME,,,
134,D,Custom future-only datepicker (single date),,,,1,1341,,webview,Please select a date~https://preview.pypestream.com/cx/travelers_datepicker_4/index.html?env={ENVIRONMENT}&picker=datepicker&minDate={FIRST_DAY_TWO_YEARS_AGO}&maxDate={CURRENT_DATE},1,,,,,,,,,,,,,,
1341,A,GetEventsDate,,,,,,,,,,,GetEventsDate,"Action node to retrieve JS events specificially for the custom datepicker hosted here: https://preview.pypestream.com/cx/gf_datepicker/index.html

Input:
- {""type"":""single""} for single-date version of the datepicker webview
- {""type"":""range""} for range version of the datepicker webview",success,,"{""type"":""single""}",success,true~1342|false~1342|error~99990,,,"DOL_DISPLAY,DOL",,,
1342,A,Edit DOL: Validate USER_DOL,,,,,,,,,,,ValidateDate,"'- Validates the date format
- Optionally checks if the date is the past / future / not past / not future /present / not present.
- Optionally outputs to a specified date format

Required input:
- global_var_name: name of input global variable will be validated.

Optional input:
- output_format: use it if we want to change date format
- timezone: use timezone if we want to check today in a specified timezone, list of timezone names: https://gist.github.com/heyalexej/8bf688fd67d7199be4a1682b3eec7568
- compare_with_today: one of these values: past, future, present, not_past, not_future, not_present
- compare_with_date: supports: before_date, after_date, not_before_date, not_after_date, not_date. We can use one / all of them at once.

Output:
- success = true --> valid date format with corresponding to compare_with_today value if available.
- success = false --> invalid date format
- success = not_past_false, future_false,... correspond to compare_with_today (not_past, future,...) value if availble.
- success = compare_with_date_false if the compare with dates false
- success = error --> catch all exception error",valid,,"{
  ""global_var_name"": ""DOL"",
  ""compare_with_today"": ""not_future"",
  ""output_format"": ""%m-%d-%Y"",
  ""output_reformatted_date"": ""DOL""
}",valid,true~1344|false~13421|not_future_false~13421|error~99990,,,"DOL,USER_DOL",,,
13421,D,Edit DOL: ValidateDate - False (Date in future),,,,,,"I'm sorry, it looks like you may have chosen a date in the **future**. Please let us know when the items were stolen.",button,<<far fa-calendar>> Select date~134,1,disable_input,,,,,,,,,,,,,
1343,A,VarCheck - AGENT_FULLNAME,,,,,,,,,,,VarCheck,,valid,,"{""global_var_name"":""AGENT_FULLNAME""}",valid,true~13432|false~13431|error~99990,,,AGENT_FULLNAME,,,
13431,D,Confirm date of loss - Edit,,,,,,**When** did the theft occur? Please re-enter the date.,button,"<<far fa-calendar>> Select date~134|
<<far fa-arrow-alt-circle-left>> Go back~1344",1,disable_input,,,,,,,,,,,,,
13432,D,Confirm date of loss - Edit | Agent,,,,,,**When** did the theft occur? Please re-enter the date.,button,"<<far fa-calendar>> Select date~134|
<<far fa-arrow-alt-circle-left>> Go back~1344|
<<far fa-edit>> Edit policyholder's name~13",1,disable_input,,,,,,,,,,,,,
1344,A,VarCheck - EDIT_MODE,,,,,,,,,,,VarCheck,,valid,,"{""global_var_name"":""EDIT_MODE""}",valid,true~18|false~135|error~135,,,EDIT_MODE,,,
135,A,VarCheck - Filer Type,,,,,,,,,,,VarCheck,,valid,,"{""global_var_name"":""AGENT_FULLNAME""}",valid,true~1351|false~1352|error~99990,,,AGENT_FULLNAME,,,
1351,D,"Agent Reporter, Edit Check",,,,,,Thank you **{AGENT_FIRSTNAME} {AGENT_LASTNAME}**. You are creating a claim on behalf of **{FIRSTNAME} {LASTNAME}**. Is this correct?,button,"<<far fa-arrow-alt-circle-right>> Yes, continue~1350|
<<far fa-edit>> Edit my name~13511|
<<far fa-edit>> Edit policyholder's name~13516",1,disable_input,,,,,,,,,,,,,
1352,D,"Insured Reporter, Edit Check",,,,,,"Thank you, your name has been recorded as **{FIRSTNAME} {LASTNAME}**.

Your email has been recorded as **{EMAIL}**.",button,"<<far fa-arrow-alt-circle-right>> Continue~1350|
<<far fa-edit>> Edit my name~13521|
<<far fa-envelope>> Edit my email~13311",1,disable_input,,,,,,,,,,,,,
13511,D,Agent: Edit Own Name | Input,,,,1,13512,Please **re-enter** your full name below.,,,1,,,,,,,,,,,AGENT_FULLNAME,,,
13512,A,Agent: Edit Own Name | ParseFullName,,,,,,,,,,,ParseFullName,,valid,,"{""fullname_input"":""AGENT_FULLNAME"",""firstname_output"":""AGENT_FIRSTNAME"",""lastname_output"":""AGENT_LASTNAME""}",valid,true~13513|only_firstname~13514|false~13515|error~13515,,,"AGENT_FULLNAME,AGENT_FIRSTNAME,AGENT_LASTNAME",,,
13513,D,Agent: Edit Own Name | Confirm,,,,,,Your name has been updated to **{AGENT_FIRSTNAME} {AGENT_LASTNAME}**.,button,<<far fa-arrow-alt-circle-right>> Continue~1351,1,disable_input,,,,,,,,,,,,,
13514,D,Agent: Edit Own Name | OnlyFirstName,,,,1,13513,"Thank you, now please enter your **last name** below:",,,1,,,,,,,,,,,AGENT_LASTNAME,,,
13515,D,Agent: Name Fail | Ask for name again,,,,,,"Hmm...it looks like you may have entered something other than a **full name** (e.g. a first name or a name with numbers or special characters). 

**Please try again**.",button,<<far fa-undo>> Try again~13511,1,disable_input,,,,,,,,,,AGENT_FULLNAME,,,
13516,D,Agent: Edit PH Name | Input,,,,1,13517,Please **re-enter** their full name below.,,,1,,,,,,,,,,,FULLNAME,,,
13517,A,Agent: Edit PH Name | ParseFullName,,,,,,,,,,,ParseFullName,,valid,,"{""fullname_input"":""FULLNAME"",""firstname_output"":""FIRSTNAME"",""lastname_output"":""LASTNAME""}",valid,true~13518|only_firstname~13519|false~13520|error~13520,,,"FULLNAME,FIRSTNAME,LASTNAME",,,
13518,D,Agent: Edit PH Name | Confirm,,,,,,The policyholder's name has been updated to **{FIRSTNAME} {LASTNAME}**.,button,<<far fa-arrow-alt-circle-right>> Continue~1351,1,disable_input,,,,,,,,,,,,,
13519,D,Agent: Edit PH Name | OnlyFirstName,,,,1,13513,"Thank you, now please enter their **last name** below:",,,1,,,,,,,,,,,LASTNAME,,,
13520,D,Agent: Name Fail | Ask for PH name again,,,,,,"Hmm...it looks like you may have entered something other than a **full name** (e.g. a first name or a name with numbers or special characters). 

**Please try again**.",button,<<far fa-undo>> Try again~13516,1,disable_input,,,,,,,,,,FULLNAME,,,
13521,D,Edit Own Name | Input,,,,1,13522,Please **re-enter** your full name below.,,,1,,,,,,,,,,,FULLNAME,,,
